city,date_day,pm2_5,pm10,us_aqi,ozone,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,carbon_dioxide,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,surface_pressure,country,lat,lon
Detroit,2025-11-26,5.7250000000000005,5.75,43.296869625,37.625,14.095833333333333,4.2250000000000005,293.8333333333333,458.5,6.978666958333334,81.79166666666667,0.004166666666666667,22.275133695833333,983.6336133333333,US,42.3314,-83.0458
Detroit,2025-11-27,1.8875,1.925,30.844155416666666,68.375,5.304166666666666,1.3875,190.75,446.0833333333333,0.8015833279166666,67.08333333333333,0.0,26.950884375,991.1920258333333,US,42.3314,-83.0458
Detroit,2025-11-28,2.275,2.3291666666666666,33.13910633333334,72.58333333333333,6.6875,1.7958333333333334,183.54166666666666,445.4583333333333,-1.2942500016666667,64.54166666666667,0.0,19.672946666666665,998.3254433333333,US,42.3314,-83.0458
Detroit,2025-11-29,4.341666666666667,4.416666666666667,30.10010779166667,61.416666666666664,15.404166666666667,3.8375,213.04166666666666,448.4166666666667,-1.5755000022916665,57.291666666666664,0.004166666666666667,9.137563233333333,1006.5932891666666,US,42.3314,-83.0458
Detroit,2025-11-30,6.108333333333333,6.179166666666667,27.807466875,60.625,11.237499999999999,4.566666666666666,209.66666666666666,449.0416666666667,0.18491666354166666,87.20833333333333,0.4583333333333333,22.157446500000002,992.5464141666666,US,42.3314,-83.0458
Detroit,2025-12-01,8.495833333333334,9.0125,30.055473958333334,55.75,25.2375,4.845833333333333,271.5833333333333,454.7916666666667,-3.3880000008333333,72.66666666666667,0.004166666666666667,6.875337119583333,1005.537755,US,42.3314,-83.0458
Detroit,2025-12-02,17.5,18.408333333333335,52.975691291666664,32.791666666666664,45.229166666666664,5.95,287.75,457.7916666666667,-2.4463333333333335,82.58333333333333,0.03333333333333333,5.869091241666666,993.7488945833334,US,42.3314,-83.0458
Detroit,2025-12-03,6.166666666666667,6.2124999999999995,48.98845333333333,53.291666666666664,18.870833333333334,3.658333333333333,297.0416666666667,453.0,-4.56925,85.04166666666667,0.012499999999999999,15.996867541666667,992.8895733333334,US,42.3314,-83.0458
Detroit,2025-12-04,5.591666666666666,5.7625,30.143591166666667,64.625,13.15,2.7083333333333335,251.66666666666666,451.4166666666667,-4.7505,68.08333333333333,0.05416666666666667,12.393033033333333,999.5382475,US,42.3314,-83.0458
Detroit,2025-12-05,23.8125,25.099999999999998,57.78892470833333,30.875,43.912499999999994,7.529166666666666,452.375,466.1666666666667,-9.192166541666667,71.83333333333333,0.0,8.903076579166667,996.30320625,US,42.3314,-83.0458
Detroit,2025-12-06,14.066666666666668,14.325000000000001,64.11901437499999,59.833333333333336,15.5,4.920833333333333,268.7916666666667,452.5,-1.1213333366666667,69.0,0.0,16.417678499999997,988.377755,US,42.3314,-83.0458
Detroit,2025-12-07,12.9375,13.108333333333334,51.43932470833334,35.833333333333336,35.375,5.233333333333333,353.0,462.8333333333333,-1.554666669375,74.83333333333333,0.05833333333333333,7.0631755625,995.0941858333334,US,42.3314,-83.0458
Detroit,2025-12-08,7.1375,7.6375,37.34292683333333,57.791666666666664,20.166666666666668,3.2083333333333335,223.375,449.9583333333333,-7.452583,61.5,0.0,7.5355334375,1003.9387370833333,US,42.3314,-83.0458
Detroit,2025-12-09,11.200000000000001,11.924999999999999,42.26260966666667,45.25,28.583333333333332,5.541666666666667,269.9583333333333,452.4583333333333,-5.708833166666667,67.70833333333333,0.05833333333333334,15.8921355625,992.6702383333333,US,42.3314,-83.0458
Detroit,2025-12-10,9.924999999999999,9.995833333333334,49.31352775,52.416666666666664,13.420833333333334,3.0208333333333335,257.625,454.0,1.3849166658333332,86.79166666666667,0.5541666708333334,18.857865108333332,974.5335229166667,US,42.3314,-83.0458
Detroit,2025-12-11,2.2125,2.245833333333333,34.958980875,74.08333333333333,8.025,1.8875,190.66666666666666,447.1666666666667,-3.8463333333333334,65.33333333333333,0.0,17.629592166666665,988.57771,US,42.3314,-83.0458
Detroit,2025-12-12,8.1875,8.625,28.456197625,51.916666666666664,21.625,3.795833333333333,284.0416666666667,459.75,-3.2275833333333335,69.20833333333333,0.0,8.665419391666667,995.8455333333333,US,42.3314,-83.0458
Detroit,2025-12-13,5.733333333333333,5.816666666666666,33.445943625,55.416666666666664,11.970833333333333,3.4166666666666665,240.83333333333334,451.1666666666667,-3.0900833349999997,70.08333333333333,0.0,17.882396458333336,993.5309670833334,US,42.3314,-83.0458
Detroit,2025-12-14,4.766666666666667,5.4375,31.378034041666666,67.41666666666667,8.483333333333333,1.9916666666666665,197.29166666666666,448.1666666666667,-10.394249625,62.791666666666664,0.0,17.690252270833334,1002.5022129166667,US,42.3314,-83.0458
Detroit,2025-12-15,6.095833333333334,6.175,25.325580583333334,51.958333333333336,17.608333333333334,4.354166666666667,266.8333333333333,453.4583333333333,-8.885916458333332,71.20833333333333,0.012499999999999999,13.446692050000001,1004.09854,US,42.3314,-83.0458
Detroit,2025-12-16,12.683333333333332,12.745833333333335,40.38804245833333,42.541666666666664,21.283333333333335,6.55,310.25,455.875,-4.571333251041667,64.95833333333333,0.0,13.872026333333332,994.0466808333334,US,42.3314,-83.0458
Detroit,2025-12-17,11.075000000000001,11.2875,45.69276475,51.5,14.683333333333332,4.3125,271.9583333333333,455.6666666666667,3.0120000004166667,67.83333333333333,0.0,18.461583,988.2735524999999,US,42.3314,-83.0458
Detroit,2025-12-18,21.029166666666665,21.229166666666668,63.588670125,41.083333333333336,24.816666666666666,6.354166666666667,275.375,457.2916666666667,3.7328335395833334,75.625,0.0375,14.984268129166667,987.2734541666667,US,42.3314,-83.0458
Detroit,2025-12-19,2.620833333333333,2.6875,42.03500533333334,61.625,7.470833333333334,2.2375000000000003,190.375,448.1666666666667,0.3432500825,78.75,0.22500000583333332,26.79621333333333,977.2658129166666,US,42.3314,-83.0458
Detroit,2025-12-20,5.25,5.416666666666667,26.36295975,52.708333333333336,15.745833333333332,4.791666666666667,213.0,449.875,-2.7275833333333335,70.83333333333333,0.0,19.689745374999998,990.5836054166666,US,42.3314,-83.0458
Detroit,2025-12-21,8.1875,8.487499999999999,28.42107233333333,62.041666666666664,10.429166666666667,2.8666666666666667,215.04166666666666,449.7083333333333,-2.0338333333333334,53.916666666666664,0.0,18.244333208333334,998.4780295833334,US,42.3314,-83.0458
Detroit,2025-12-22,13.345833333333333,14.008333333333333,46.08814808333333,29.583333333333332,33.229166666666664,6.129166666666666,353.625,460.9166666666667,-3.233833333333333,75.625,0.05000000000000001,8.766600645833334,1007.3892470833333,US,42.3314,-83.0458
Detroit,2025-12-23,17.533333333333335,19.1125,55.639037124999994,33.25,22.558333333333334,8.075000000000001,275.125,458.0,4.09116675,79.58333333333333,0.0,9.514745541666667,994.64499625,US,42.3314,-83.0458
Detroit,2025-12-24,13.283333333333333,13.408333333333333,62.979464625,31.125,21.5125,4.683333333333334,248.375,459.7916666666667,1.516166665,76.95833333333333,0.0,7.618291991666666,1001.6519491666667,US,42.3314,-83.0458
Detroit,2025-12-25,12.979166666666666,13.058333333333332,53.54905516666667,27.166666666666668,28.099999999999998,4.758333333333334,272.75,463.5,1.6744999966666667,78.375,0.0,11.026430445833334,997.6299358333334,US,42.3314,-83.0458
Detroit,2025-12-26,5.3500000000000005,5.391666666666667,31.642591291666665,42.583333333333336,20.170833333333334,5.383333333333333,225.375,455.6666666666667,-0.04008333624999998,83.75,0.2333333375,11.789904075,990.4504308333334,US,42.3314,-83.0458
Detroit,2025-12-27,6.5625,6.591666666666666,27.362557125,33.708333333333336,21.558333333333334,5.208333333333333,245.58333333333334,458.8333333333333,0.12033333145833335,89.45833333333333,0.0,8.0264056875,993.2620775,US,42.3314,-83.0458
